Subject ID	max(abs(Tx))	max(abs(Ty))	max(abs(Tz))	max(abs(Rx))	max(abs(Ry))	max(abs(Rz))	mean(abs(Tx))	mean(abs(Ty))	mean(abs(Tz))	mean(abs(Rx))	mean(abs(Ry))	mean(abs(Rz))	mean RMS	mean relative RMS (mean FD_VanDijk)	mean FD_Power	Number of FD_Power>0.5	Percent of FD_Power>0.5	Number of FD_Power>0.2	Percent of FD_Power>0.2	mean FD_Jenkinson
S01	0.5135815	0.6162738	0.7189084	0.9941053	1.107125	1.235305	0.2513941	0.3154542	0.2879539	0.2028308	0.5279146	0.6104043	0.5239864	0.04227221	0.2857602	20	0.06557377	194	0.6360656	0.1515832
S02	0.5922648	0.2095659	0.2654603	0.2767892	0.3038335	0.7331911	0.1559811	0.1067834	0.05337354	0.06283454	0.07638793	0.201529	0.2161096	0.04224428	0.1508977	2	0.006557377	63	0.2065574	0.08111819
S03	0.02826774	0.1351043	0.1696877	0.4160638	0.2316114	0.09410525	0.009870656	0.02850886	0.08443754	0.2044489	0.1108981	0.04252362	0.09571119	0.01738304	0.09820045	0	0	4	0.01311475	0.05729054
S04	2.9232556	1.2126151	1.0607915	1.8793134	1.81787424	2.08118198	1.950128148	0.62935432	0.26540718	0.91245441	0.94358742	1.1081501	2.10487948726111	0.09027137	0.56857917	144	0.472131147	260	0.85245901	0.24537543
S05	0.3818098	0.3377475	0.8035482	1.936731	0.2587286	0.3975137	0.1691766	0.1644493	0.07599939	0.900833	0.06539401	0.1189238	0.2726421	0.01960923	0.1140895	3	0.009836066	37	0.1213115	0.05974489
S06	0.3165792	0.3374703	0.2641869	0.2671971	0.3036827	0.2212852	0.191417	0.1597046	0.1248433	0.08853848	0.09439908	0.1230435	0.2837675	0.02715502	0.095279	0	0	0	0	0.05193252
S07	1.277836	0.1778734	0.5736046	0.2111881	0.6344489	1.030452	0.715933	0.04456569	0.1961274	0.0434509	0.3583843	0.6054286	0.7530587	0.02562314	0.3070485	28	0.09180328	220	0.7213115	0.1694505
S08	0.441928	0.3972389	1.754216	1.648122	0.2633246	0.5163575	0.2932037	0.06302109	1.320781	1.159056	0.1310292	0.2408809	1.360799	0.0485316	0.1800575	5	0.01639344	91	0.2983607	0.09968716
S09	0.1508544	0.0978595	0.7505182	0.2689042	0.4247865	0.4078574	0.05549819	0.02915182	0.2779467	0.1019142	0.07764278	0.06653554	0.2889619	0.1353015	0.2757749	4	0.01311475	214	0.7016393	0.162049
S10	0.103801	0.4243258	1.023606	1.120284	0.3714938	0.1898341	0.04390205	0.2116269	0.3560415	0.6592666	0.1618036	0.1034948	0.4238937	0.03406376	0.1362612	0	0	50	0.1639344	0.07704464
S100	0.5274097	0.4477588	0.745261	2.019584	1.425843	1.814148	0.1551546	0.2027615	0.1013422	0.2800755	0.2664994	0.1401772	0.2899281	0.0537387	0.2702427	22	0.07213115	125	0.4098361	0.1434786
S101	1.464199	0.5538074	0.628873	0.4924967	0.8621911	0.7525861	0.7223917	0.3300538	0.2521545	0.2015216	0.4794167	0.3283501	0.8512694	0.04771896	0.2371544	5	0.01639344	184	0.6032787	0.1318033
S102	2.351033	0.5528062	0.9101247	1.06878	1.725783	0.8277118	1.388711	0.3383287	0.4002846	0.5574774	0.9664473	0.4747783	1.495004	0.038527	0.2169432	8	0.02622951	138	0.452459	0.113735
S103	0.9175702	0.2642707	0.6460591	0.5831154	0.8312771	0.1682396	0.529201	0.120867	0.397258	0.3320235	0.4531142	0.04970742	0.6873923	0.06078573	0.2143558	2	0.006557377	168	0.5508197	0.1321853
S104	0.1610088	0.1783385	0.3306348	0.09991134	0.1700962	0.166012	0.06933983	0.08141887	0.1575286	0.03964632	0.100311	0.04353082	0.1994052	0.02264074	0.1295866	0	0	20	0.06557377	0.06886426
S105	0.7395679	0.2158464	0.3715223	0.2160144	0.5611131	0.6420042	0.374567	0.1040735	0.1698976	0.09808635	0.314419	0.3453972	0.4606166	0.02043825	0.1063685	0	0	14	0.04590164	0.05371239
S106	0.5960146	0.6494038	0.8140324	1.062179	0.4615289	0.5041554	0.2991051	0.463968	0.235075	0.7624676	0.1157019	0.2891975	0.6258514	0.02574483	0.2040446	0	0	167	0.547541	0.1105399
S107	0.7278571	0.2430358	0.3869112	0.5133482	0.5330148	0.7857358	0.430019	0.1364435	0.08511475	0.3443661	0.3251449	0.5224964	0.4675858	0.02308858	0.1300387	1	0.003278689	38	0.1245902	0.0654037
S108	0.528099	0.3472149	0.7298667	0.4908732	0.4719164	0.5318234	0.3284952	0.2045135	0.2040325	0.1445476	0.2718507	0.1079941	0.4511283	0.02780988	0.1644294	11	0.03606557	53	0.1737705	0.08578612
S109	0.1378281	0.2670012	0.2464805	1.081069	0.08673005	0.04992	0.07672728	0.1582871	0.09711233	0.7049722	0.03892102	0.01002724	0.2082564	0.02506958	0.1177229	0	0	17	0.0557377	0.0559852
S11	0.5625283	0.3199298	1.855679	2.46656	0.3740586	0.779425	0.2921973	0.1224982	0.5493054	0.7259839	0.1510316	0.1403817	0.6984729	0.07240709	0.2090989	7	0.02295082	125	0.4098361	0.1231738
S110	0.7348767	0.3795693	1.250547	1.014454	1.012806	0.8270835	0.2489556	0.1233128	0.2266186	0.5194027	0.3315825	0.3302764	0.3883489	0.04031811	0.1779459	7	0.02295082	91	0.2983607	0.09377338
S111	0.2652228	0.4706337	0.8127075	0.5915406	0.2953967	0.2506848	0.1229262	0.06825169	0.1189538	0.1589616	0.1501196	0.07059328	0.2167758	0.03674685	0.1732329	7	0.02295082	82	0.2688525	0.09796789
S112	0.2839423	1.081035	2.957112	0.7305607	0.4682566	0.4618599	0.1560797	0.6551343	1.921452	0.3891978	0.3169752	0.2953973	2.039175	0.09135705	0.2322517	10	0.03278689	158	0.5180328	0.1349401
S113	0.4204071	0.3519328	0.6104049	0.8565557	0.1232085	0.5000199	0.06901229	0.1381462	0.1288178	0.453485	0.05443625	0.2225198	0.2146419	0.03066301	0.1048462	1	0.003278689	23	0.07540984	0.06071841
S114	0.230564	0.1397529	0.3920789	0.5970575	0.3645457	0.4275269	0.04312978	0.03887933	0.1494271	0.3015055	0.1671241	0.2992458	0.1737559	0.06582573	0.1870464	6	0.01967213	116	0.3803279	0.1101327
S117	0.9582515	0.5206456	0.3077952	0.88394	0.4643556	1.352249	0.6173007	0.3316581	0.1189332	0.488179	0.2527896	0.8219473	0.7261085	0.023294	0.1604992	3	0.009836066	75	0.2459016	0.08274669
S118	0.1001604	0.2121775	0.4500644	0.5924547	0.3085218	0.09538659	0.01839956	0.1213282	0.124432	0.2678897	0.1851119	0.02971852	0.1868474	0.08535364	0.2318993	8	0.02622951	178	0.5836066	0.1375132
S119	0.551653	0.3983929	0.3459006	0.614281	0.6227716	0.3596911	0.1959774	0.1348849	0.1356499	0.2506573	0.1122754	0.1437074	0.3072539	0.0208462	0.1029567	1	0.003278689	14	0.04590164	0.0517147
S12	0.4046191	0.3197884	1.645943	0.9662609	0.6945742	0.2681562	0.1266829	0.1309588	0.4402485	0.5028065	0.442583	0.1185915	0.5052864	0.08144493	0.2204818	5	0.01639344	158	0.5180328	0.1248738
S120	1.229936	1.534768	2.058053	2.392993	1.183668	0.5847342	0.2240949	0.2269345	0.7904064	0.8392524	0.2301444	0.1593727	0.8996696	0.09894797	0.3123019	26	0.0852459	127	0.4163934	0.1715175
S121	0.3599242	0.1854471	0.5849924	0.2425928	0.1808427	0.2120375	0.2060214	0.08871007	0.2432604	0.06701147	0.07952938	0.1330772	0.345419	0.09462011	0.2601142	12	0.03934426	189	0.6196721	0.1720385
S122	0.2299017	0.1822135	0.8384732	0.8349673	0.2354531	0.3936311	0.133558	0.09379371	0.4301822	0.2433445	0.08313182	0.1909065	0.4632052	0.08341669	0.171526	4	0.01311475	95	0.3114754	0.1009467
S123	0.2631974	0.2526359	0.9955257	0.7992208	0.3990847	0.214058	0.09180444	0.1302698	0.3066891	0.4484139	0.2073206	0.07136702	0.3590079	0.07310894	0.1638002	4	0.01311475	93	0.304918	0.09308643
S124	1.005704	0.3619741	0.7106479	1.017086	0.8938415	0.6499432	0.4958841	0.1375285	0.1857639	0.2901844	0.4490649	0.3651199	0.5647301	0.0712411	0.3603785	64	0.2098361	238	0.7803279	0.230795
S128	0.3666189	0.3814176	0.6164554	0.7830116	0.4481939	0.2483465	0.0642143	0.1230679	0.2328024	0.1790475	0.2405362	0.1064193	0.2869715	0.1197361	0.2576177	8	0.02622951	193	0.6327869	0.1596161
S129	0.5955253	0.2363946	0.2608538	0.3667677	0.2657005	0.6335177	0.4608837	0.08313462	0.08475438	0.2106219	0.1664567	0.4369185	0.4831985	0.01789524	0.2697616	14	0.04590164	200	0.6557377	0.1645966
S13	0.5949512	0.238854	0.1782562	0.3439306	0.3635014	0.3613073	0.3608328	0.07558524	0.05864597	0.09714684	0.2237153	0.2459404	0.3822969	0.02026077	0.1315308	0	0	59	0.1934426	0.070604
S130	0.2612874	0.1604935	0.2454281	0.0694363	0.1212403	0.1724428	0.1055172	0.06665547	0.08993578	0.02709043	0.0655319	0.07369222	0.164779	0.04521816	0.150596	0	0	67	0.2196721	0.08443286
S131	0.6671654	0.2628731	0.5038998	0.8972492	0.4665863	0.1863474	0.2016573	0.08860298	0.1858118	0.4013118	0.2232412	0.05450334	0.3063951	0.05303687	0.1736554	0	0	99	0.3245902	0.102422
S132	0.4526262	0.4968606	0.6627658	0.705046	0.4510672	0.3282512	0.1727445	0.2495728	0.07765404	0.1851076	0.2208934	0.09841077	0.3366547	0.04516776	0.174811	7	0.02295082	82	0.2688525	0.09668326
S133	1.507659	0.2659793	1.136535	0.2358474	0.6491957	1.096962	0.8560805	0.1420686	0.6922727	0.08403495	0.2892583	0.6793421	1.113844	0.02462752	0.1286131	0	0	26	0.0852459	0.06722635
S134	0.8380707	0.416087	1.073954	0.4828049	0.6181732	0.604318	0.5515004	0.1737917	0.2654573	0.1869372	0.3679678	0.3560391	0.6794121	0.04343725	0.2349825	10	0.03278689	170	0.557377	0.1329131
S135	1.427868	0.6482344	0.6153862	1.54696	1.202666	0.9229978	0.8397765	0.4108266	0.2945896	1.087528	0.7843682	0.4733185	0.9897202	0.06236487	0.2352778	3	0.009836066	194	0.6360656	0.1377855
S136	1.965204	1.092783	1.503508	2.483725	2.493946	0.3779326	1.433401	0.7695576	0.6835328	2.516458	1.860687	0.2120157	1.793744	0.1664546	0.6098056	174	0.5704918	278	0.9114754	0.2439194
S137	0.5860509	0.4234221	0.7034701	0.8642028	0.6730129	0.7792576	0.2662944	0.1520581	0.2159874	0.2228361	0.2692561	0.3429455	0.3869713	0.04518554	0.1771792	7	0.02295082	82	0.2688525	0.1001542
S139	0.1985439	0.3934061	0.5160577	0.646106	0.2750107	0.4134791	0.07207443	0.179649	0.1615037	0.3429965	0.169359	0.1491151	0.2744188	0.1044932	0.2487195	5	0.01639344	194	0.6360656	0.1630057
S140	1.518023	0.7628803	1.05681	0.8304164	0.3294362	1.31227	0.890052	0.2492179	0.2957421	0.311092	0.07988437	0.7580938	0.9958847	0.07037629	0.3871334	74	0.242623	239	0.7836066	0.2147758
S143	1.035336	0.3727067	0.1381316	0.5169987	1.237005	0.2141952	0.3550016	0.1470106	0.05380293	0.2448467	0.5074793	0.0729493	0.393569	0.01894553	0.09199379	3	0.009836066	18	0.05901639	0.04643633
S147	0.7330851	0.4862291	0.6513496	0.3619139	0.4576747	0.6807329	0.5042986	0.2707904	0.3917974	0.1590441	0.247063	0.4120914	0.6978547	0.02225588	0.2096439	0	0	166	0.5442623	0.1191773
S149	0.2909182	0.1162661	0.37576	0.3620234	0.6797064	0.1707256	0.1644766	0.05016527	0.1673164	0.1726713	0.4091371	0.07014645	0.2434519	0.01978867	0.1122701	0	0	11	0.03606557	0.06087817
S15	0.3216545	0.404366	0.6674093	0.523417	0.390689	0.3019333	0.1704481	0.178909	0.3457707	0.2355603	0.204141	0.137069	0.4324516	0.04876769	0.1848464	2	0.006557377	124	0.4065574	0.100289
S153	0.3108114	0.7595651	1.694388	1.056326	0.3692214	0.2411361	0.1759994	0.3863088	1.115879	0.2538909	0.1752874	0.1024115	1.201336	0.04236306	0.130627	6	0.01967213	45	0.147541	0.06931024
S154	0.1094022	0.3329153	0.2961918	0.240333	0.1423522	0.1806881	0.04109789	0.1943939	0.1037718	0.0987783	0.06126961	0.07877645	0.2353005	0.02879227	0.165953	0	0	105	0.3442623	0.09899758
S155	0.4252136	0.2691315	0.4996694	0.7093004	0.2845431	0.4089804	0.1905421	0.06660553	0.1509155	0.1348533	0.1046545	0.2122096	0.2808782	0.09601155	0.3393706	40	0.1311475	239	0.7836066	0.2164811
S157	0.7752822	0.4786179	0.5115521	0.1850534	0.7537308	0.1957559	0.2237337	0.2152907	0.2276541	0.07121657	0.2561492	0.08046285	0.3924728	0.01683805	0.1509407	0	0	77	0.252459	0.08532972
S159	0.8906257	0.3408082	0.679256	0.3802496	0.5538487	0.6592036	0.3206631	0.1579501	0.2442434	0.1780495	0.2120529	0.3380179	0.4469436	0.05078104	0.2155742	4	0.01311475	148	0.4852459	0.1247778
S160	0.07744773	0.2179833	0.1842193	0.9712937	0.07038705	0.1568814	0.02563497	0.1163006	0.05145476	0.4586387	0.01824035	0.09312785	0.137234	0.02638519	0.119392	0	0	4	0.01311475	0.05793227
S163	0.8059662	0.6310425	1.060402	0.6137175	0.677566	0.3553083	0.3874884	0.3077976	0.4413519	0.2102507	0.3055067	0.1815677	0.6785556	0.0627091	0.2683774	11	0.03606557	200	0.6557377	0.1744685
S164	1.08635	0.1318895	0.5086873	1.599979	0.2601009	1.742028	0.5115896	0.05423564	0.2523701	0.5208795	0.09542518	0.9560535	0.5943707	0.03970411	0.1865839	0	0	147	0.4819672	0.1035632
S166	0.6996332	0.4481389	0.395598	0.1561732	0.7540507	0.4684097	0.3681979	0.2308152	0.1873495	0.04506141	0.4775716	0.2754684	0.4827934	0.05356782	0.1793608	0	0	115	0.3770492	0.1031067
S167	1.832242	0.4203393	0.872681	0.2788661	1.889348	0.6300791	0.2584722	0.2079498	0.3442501	0.05780296	0.3004421	0.1399359	0.5482142	0.06763782	0.1853817	9	0.0295082	111	0.3639344	0.112785
S169	0.3934771	0.4813095	0.5872335	0.4121196	0.7222975	0.3048366	0.09716214	0.2721597	0.1957417	0.268179	0.4287559	0.10868	0.3629129	0.06266259	0.2559268	20	0.06557377	176	0.5770492	0.1568497
S17	0.09975884	0.3860025	0.4259633	1.06511	0.3028333	0.1850167	0.04214211	0.2072757	0.03320914	0.3041641	0.1320466	0.07267125	0.2200538	0.03881433	0.1353015	8	0.02622951	22	0.07213115	0.06950307
S170	0.8543705	0.127447	0.9077757	0.4246497	0.6383321	0.6831059	0.4615509	0.04060478	0.4108625	0.1844859	0.3593711	0.3741445	0.6258158	0.07258806	0.2279091	0	0	178	0.5836066	0.139203
S18	2.482562	0.3840785	0.4563836	0.6619843	0.5361119	1.295382	1.252021	0.2210253	0.1723164	0.4231747	0.3502868	0.5244718	1.289685	0.02058088	0.1925821	0	0	149	0.4885246	0.1082205
S19	0.434467	0.4331657	0.2997648	0.3233665	0.0962805	0.3405397	0.1930596	0.2619737	0.0523851	0.08663212	0.03682316	0.181473	0.3384376	0.01872471	0.0856554	2	0.006557377	9	0.0295082	0.04573099
S204	0.7886353	0.6213813	0.8604902	1.507187	0.2401095	0.2248414	0.2797312	0.1716487	0.4004681	0.3377736	0.1196358	0.05672321	0.5612368	0.1556973	0.4155756	78	0.2557377	270	0.8852459	0.2517921
S224	1.082911	0.8215927	1.504921	1.391225	0.6595255	0.964581	0.5101482	0.176783	0.2784128	0.07405893	0.3198989	0.4329574	0.6205795	0.03975992	0.1384279	6	0.01967213	27	0.08852459	0.07098251
S23	0.3320596	0.33729	0.5931998	1.056443	0.2402321	0.1315028	0.1055124	0.1858336	0.1471054	0.4369164	0.09633604	0.05397389	0.2816681	0.07920143	0.2562983	3	0.009836066	204	0.6688525	0.177836
S230	0.4201376	0.3625569	1.558515	0.6842844	0.5896919	0.2505941	0.1293257	0.1149988	0.4432875	0.2084462	0.1898633	0.0475951	0.5025443	0.08139368	0.2377842	22	0.07213115	146	0.4786885	0.1318605
S235	0.4984668	1.076826	1.171173	1.171721	0.2011491	0.3936165	0.2305152	0.2068668	0.4523186	0.1688733	0.1121125	0.1927441	0.5587852	0.05044027	0.1360852	5	0.01639344	54	0.1770492	0.07563719
S236	0.1255848	1.025806	1.4184	1.369019	0.142404	0.589372	0.05086945	0.2586804	0.4606582	0.2440667	0.04487604	0.203714	0.5433205	0.1283092	0.3395294	38	0.1245902	209	0.6852459	0.2007477
S24	0.1619931	0.5052476	0.9810873	0.6193654	0.1602525	0.1032509	0.06078014	0.2802042	0.4494496	0.1710524	0.05286084	0.03533479	0.5360529	0.06338446	0.1628614	6	0.01967213	82	0.2688525	0.1003858
S243	0.4147027	0.4419121	0.7955009	0.345072	0.4611099	0.2227129	0.2432374	0.2328481	0.4314793	0.1838955	0.2792096	0.09529773	0.5548305	0.01963384	0.08127634	1	0.003278689	14	0.04590164	0.0435079
S248	0.3562689	0.2108553	0.4206325	0.985168	0.2648582	0.4236483	0.1120771	0.06701901	0.1067905	0.4568583	0.103252	0.1422498	0.1775653	0.02433891	0.1116794	0	0	22	0.07213115	0.05836635
S25	3.249053	1.959249	1.055435	2.870881	1.99779	4.330466	0.9865625	0.3298617	0.3759625	0.8599856	0.9046501	1.083366	1.211908	0.09816807	0.4711566	52	0.1704918	202	0.6622951	0.2380659
S27	1.333845	0.4243669	0.6069364	0.5195711	1.012876	0.5899868	0.6845237	0.2202021	0.1662817	0.1752551	0.5942491	0.2068548	0.7676386	0.03628955	0.1929789	14	0.04590164	93	0.304918	0.1001128
S29	0.2684568	0.2680468	0.1738935	0.4147067	1.158401	0.289299	0.1843359	0.1455813	0.07432353	0.2342795	0.653402	0.1555588	0.2535213	0.02384163	0.1320472	0	0	31	0.1016393	0.0669359
S30	0.4952405	0.527283	0.5179795	0.4337095	0.4095656	0.4422578	0.2070759	0.1865076	0.1255186	0.1052064	0.2055287	0.1774387	0.3372902	0.02362328	0.1417844	2	0.006557377	63	0.2065574	0.07483848
S31	0.8912198	0.2191839	0.8923541	0.8799675	0.3693051	0.4099673	0.3054709	0.06782504	0.3303766	0.368044	0.1113146	0.1804281	0.5050497	0.05923453	0.1909094	11	0.03606557	106	0.347541	0.1113045
